表示順で書いてください。月日を降順で並び替えれば日付順で表示されます。改行は<br>でできます。,,,,
活動種別,年,月日,開始時間,学校名・実施内容
会社説明会,2017年,4月21日,14:00,岡山科学技術専門学校様
会社説明会,2017年,4月21日,,ハッピー・サイエンス・ユニバーシティ様
会社説明会,2017年,4月20日,,ハッピー・サイエンス・ユニバーシティ様
説明会・面接,2017年,4月19日,,秋田コア ビジネスカレッジ様
会社説明会,2017年,4月18日,,九州技術教育専門学校様
合同会社説明会,2017年,4月11日,10:00,神戸電子専門学校様
説明会・試験,2017年,4月04日,13:30,東北電子専門学校様
説明会・試験,2017年,3月31日,15:15,JOHO大阪情報専門学校様
会社説明会,2017年,3月30日,13:30,広島情報専門学校様
会社説明会,2017年,3月28日,13:30,盛岡情報ビジネス専門学校様
説明会・面接,2017年,3月24日,13:30,北九州麻生情報様
会社説明会,2017年,3月22日,13:30,JOHO新潟情報専門学校様
説明会・面接,2017年,3月17日,,宮崎情報ビジネス専門学校様
説明会・面接,2017年,3月14日,13:30,松山ビジネスカレッジ様
説明会・面接,2017年,3月10日,13:00,熊本電子ビジネス専門学校様
会社説明会,2017年,3月7日,13:30,佐賀大学様
会社説明会,2017年,2月27日,09:30,名古屋情報専門学校様<br>名古屋情報メディア専門学校様
会社説明会,2017年,2月16日,9:00,広島コンピュータ専門学校様
会社説明会,2017年,2月14日,16:00,熊本電子ビジネス専門学校様